unique_count,repetition_ratio,sequentiality,frequency_variance,best_policy
20,0.8,0.02,5.578947368421052,LFU
21,0.79,0.03,3.6904761904761907,LRU
21,0.79,0.07,4.690476190476191,LFU
21,0.79,0.1,2.4904761904761905,LRU
21,0.79,0.03,3.3904761904761904,FIFO
21,0.79,0.0,4.9904761904761905,LFU
21,0.79,0.01,5.29047619047619,FIFO
21,0.79,0.02,3.2904761904761903,LRU
21,0.79,0.03,3.7904761904761903,LRU
21,0.79,0.06,4.190476190476191,FIFO
21,0.79,0.07,5.4904761904761905,LFU
21,0.79,0.05,3.5904761904761906,LRU
21,0.79,0.09,5.29047619047619,LFU
21,0.79,0.05,2.6904761904761907,FIFO
21,0.79,0.05,5.190476190476191,LRU
21,0.79,0.03,2.8904761904761904,LRU
21,0.79,0.02,5.190476190476191,LRU
21,0.79,0.06,5.390476190476191,LFU
21,0.79,0.07,6.59047619047619,LRU
21,0.79,0.09,4.09047619047619,LRU
21,0.79,0.02,2.9904761904761905,FIFO
21,0.79,0.07,5.190476190476191,LRU
21,0.79,0.04,4.190476190476191,LFU
21,0.79,0.06,4.690476190476191,FIFO
21,0.79,0.06,3.6904761904761907,FIFO
21,0.79,0.04,6.890476190476191,LRU
21,0.79,0.01,3.8904761904761904,LRU
21,0.79,0.07,5.09047619047619,LFU
21,0.79,0.04,5.59047619047619,LFU
21,0.79,0.04,4.390476190476191,LFU
21,0.79,0.04,5.190476190476191,LFU
21,0.79,0.05,3.9904761904761905,LFU
21,0.79,0.06,5.79047619047619,LRU
21,0.79,0.02,4.9904761904761905,LFU
20,0.8,0.01,3.473684210526316,LRU
21,0.79,0.04,4.890476190476191,LFU
21,0.79,0.05,6.390476190476191,LFU
21,0.79,0.05,2.8904761904761904,LRU
21,0.79,0.02,3.5904761904761906,FIFO
21,0.79,0.0,4.59047619047619,LFU
21,0.79,0.05,1.7904761904761906,LRU
21,0.79,0.06,2.6904761904761907,LFU
21,0.79,0.03,4.390476190476191,LRU
21,0.79,0.05,5.29047619047619,LFU
21,0.79,0.03,6.4904761904761905,FIFO
21,0.79,0.02,8.09047619047619,FIFO
21,0.79,0.02,5.59047619047619,LFU
21,0.79,0.01,5.09047619047619,LRU
21,0.79,0.07,2.7904761904761903,LRU
21,0.79,0.03,4.59047619047619,LRU
21,0.79,0.02,3.9904761904761905,FIFO
21,0.79,0.01,4.09047619047619,LRU
21,0.79,0.05,5.9904761904761905,LFU
21,0.79,0.03,5.890476190476191,LRU
21,0.79,0.01,4.9904761904761905,LRU
21,0.79,0.07,3.1904761904761907,LFU
20,0.8,0.04,4.526315789473684,LRU
21,0.79,0.04,7.390476190476191,FIFO
21,0.79,0.07,4.09047619047619,FIFO
21,0.79,0.05,4.29047619047619,LRU
21,0.79,0.04,2.6904761904761907,LRU
21,0.79,0.03,2.9904761904761905,LRU
